annee,mois,Région,Classe d'âge,Taux de passages aux urgences pour grippe,Taux d'hospitalisations après passages aux urgences pour grippe,Taux d'actes médicaux SOS médecins pour grippe
2020,3,Centre-Val de Loire,65 ans ou plus,355.450164572,485.14596610999996,905.0535142839999
2020,3,Centre-Val de Loire,Tous âges,1160.213753994,609.00996522,3747.1423172380005
2020,3,Corse,00-04 ans,438.59649123199995,0.0,3132.65306122
2020,3,Corse,05-14 ans,814.112879192,0.0,4935.5795148199995
2020,3,Corse,15-64 ans,629.0165831080001,405.144855144,3011.6425915480004
2020,3,Corse,65 ans ou plus,296.13602588599997,384.61538462,3404.7919294599997
2020,3,Corse,Tous âges,569.7969028176,345.32174210799997,3288.58249508
2020,3,Grand Est,00-04 ans,1437.8063426439999,1090.7154393,3512.4917487400003
2020,3,Grand Est,05-14 ans,1555.708256416,1224.4743983960002,6532.682879228
2020,3,Grand Est,15-64 ans,1454.457891586,1426.698580012,8277.88990186
2020,3,Grand Est,65 ans ou plus,875.498233938,1044.428882236,3118.8163190200003
2020,3,Grand Est,Tous âges,1331.844595854,1207.5874125120001,6679.390735444
2020,3,Guadeloupe,00-04 ans,455.5305316,0.0,
2020,3,Guadeloupe,05-14 ans,729.92700728,769.23076924,
2020,3,Guadeloupe,15-64 ans,739.50875767,152.671755726,
2020,3,Guadeloupe,65 ans ou plus,217.33865229600002,144.92753623200002,
2020,3,Guadeloupe,Tous âges,631.3051128139999,202.181963768,
2020,3,Guyane,00-04 ans,1571.47076708,0.0,
2020,3,Guyane,05-14 ans,1726.11712554,0.0,
2020,3,Guyane,15-64 ans,1802.0265567319998,450.585013702,
2020,3,Guyane,65 ans ou plus,658.44736486,1481.48148148,
2020,3,Guyane,Tous âges,1644.711535746,509.555154562,
2020,3,Hauts-de-France,00-04 ans,2666.18012041,2313.696451486,2885.3339317
2020,3,Hauts-de-France,05-14 ans,1852.323173364,1554.67836256,4791.676166822
2020,3,Hauts-de-France,15-64 ans,1571.070006188,1084.398739176,5471.656279479999
2020,3,Hauts-de-France,65 ans ou plus,725.605979818,865.4536208000002,2009.729897022
2020,3,Hauts-de-France,Tous âges,1552.829442774,1087.479911956,4724.300534061999
2020,3,Martinique,00-04 ans,,,3184.8546399800002
2020,3,Martinique,05-14 ans,,,6971.490015279999
2020,3,Martinique,15-64 ans,,,8532.136026836
2020,3,Martinique,65 ans ou plus,,,3304.72031146
2020,3,Martinique,Tous âges,,,6594.9479859719995
2020,3,Mayotte,00-04 ans,354.46116431400003,0.0,
2020,3,Mayotte,05-14 ans,891.90789474,0.0,
2020,3,Mayotte,15-64 ans,597.53693538,500.0,
2020,3,Mayotte,65 ans ou plus,454.54545454,0.0,
2020,3,Mayotte,Tous âges,573.9503673319999,232.55813954,
2020,3,Normandie,00-04 ans,1711.0145688919997,1092.4832743,2985.23415034
2020,3,Normandie,05-14 ans,1121.096175958,545.16861786,5612.966365702
2020,3,Normandie,15-64 ans,1242.91624173,666.791300878,5543.39571323
2020,3,Normandie,65 ans ou plus,482.075634224,652.146583422,1096.131854622
2020,3,Normandie,Tous âges,1117.9471926,684.5648055700001,4720.014221748
2020,3,Nouvelle Aquitaine,00-04 ans,1622.925212766,963.861363254,2820.481238738
2020,3,Nouvelle Aquitaine,05-14 ans,1232.8467756579998,377.574370706,5514.635679718001
2020,3,Nouvelle Aquitaine,15-64 ans,789.1548535579999,753.355121532,6274.2438903
2020,3,Nouvelle Aquitaine,65 ans ou plus,294.5669738834,343.80124279,1299.71241025
2020,3,Nouvelle Aquitaine,Tous âges,744.0301142860001,535.8126024582,5010.86113226
2020,3,Occitanie,00-04 ans,2476.357139904,1745.2348127,5351.31868674
2020,3,Occitanie,05-14 ans,2001.53782838,901.3017273080001,8530.550748329999
2020,3,Occitanie,15-64 ans,1205.145937302,506.685479202,5822.63128806
2020,3,Occitanie,65 ans ou plus,299.826191926,278.08597439,2599.390073316
2020,3,Occitanie,Tous âges,1194.295640586,481.36038455799996,5755.940648826
2020,3,Pays de la Loire,00-04 ans,1366.078220734,1811.0808893,2441.509644312
2020,3,Pays de la Loire,05-14 ans,830.170244848,314.96062992000003,4381.011050800001
2020,3,Pays de la Loire,15-64 ans,809.1400258780001,486.89983804,3497.3390217120004
2020,3,Pays de la Loire,65 ans ou plus,395.440458378,429.3583063092,531.635838738
2020,3,Pays de la Loire,Tous âges,762.3905177002,531.8693241980001,2962.027372312
2020,3,Provence-Alpes-Côte d'Azur,00-04 ans,3636.4148795,2894.865256136,5343.449109560001
2020,3,Provence-Alpes-Côte d'Azur,05-14 ans,2958.31513115,1421.716976366,8929.648999266
2020,3,Provence-Alpes-Côte d'Azur,15-64 ans,1977.3405176599997,1138.49499386,8985.5993161
2020,3,Provence-Alpes-Côte d'Azur,65 ans ou plus,761.490582986,806.972647058,3045.088431784
